pis_score,ls2slct,ls3-mpss,ls4-lcs,ls5-uss,ls6-dc,ls1-totalEnglish,ls1-totalFilipino,flt-overall-score,level
10,5,5,8,8,5,9,14,64,JHS
10,7,6,7,10,6,9,9,64,JHS
10,8,13,2,9,8,14,13,77,SHS
10,11,15,10,10,9,14,13,92,SHS
10,8,15,6,9,8,15,15,86,SHS
10,7,14,8,8,9,10,9,75,SHS
10,5,5,5,5,4,10,9,53,JHS
10,6,9,9,8,5,10,9,66,SHS
10,7,10,7,8,6,12,12,72,SHS
10,7,8,3,5,3,9,7,52,JHS
10,7,9,7,10,9,14,13,79,SHS
10,7,10,7,9,9,10,9,71,SHS
10,9,14,9,10,9,12,10,83,SHS
10,9,14,6,10,6,13,13,81,SHS
10,7,8,9,8,5,13,13,73,SHS
10,5,5,4,9,4,12,12,61,JHS
10,8,12,9,9,5,9,10,72,SHS
10,11,15,10,10,10,15,14,95,SHS
10,5,7,8,8,4,8,8,58,JHS
10,7,9,5,5,4,8,16,64,JHS
10,7,10,9,9,8,15,14,82,SHS
10,13,15,10,10,10,13,12,93,SHS
10,11,15,10,10,10,15,14,95,SHS
10,6,7,8,8,7,12,13,71,SHS
10,5,7,6,5,6,7,6,52,JHS
10,9,14,8,8,6,7,7,69,SHS
10,13,13,8,10,9,15,15,93,SHS
10,10,9,10,10,6,14,15,84,SHS
9,10,14,10,10,5,11,9,78,SHS
10,7,13,7,6,6,7,6,62,JHS
10,6,15,6,9,7,15,13,81,SHS
10,8,12,9,10,9,15,15,88,SHS
10,10,14,10,10,5,11,10,80,SHS
10,10,10,8,10,8,14,15,85,SHS
8,7,12,7,10,9,15,10,78,SHS
10,10,9,10,10,6,14,15,84,SHS
10,9,11,13,9,8,14,13,87,SHS
10,6,11,7,8,4,10,11,67,SHS
10,7,13,10,10,8,14,14,86,SHS
10,9,5,8,10,8,10,14,74,SHS
10,9,11,8,10,8,13,14,83,SHS
10,7,13,7,6,6,7,9,65,SHS
10,13,13,9,10,9,15,15,94,SHS
10,8,13,6,10,8,13,13,81,SHS
10,10,12,6,8,6,14,14,80,SHS
10,7,10,7,7,6,8,7,62,JHS
10,7,10,8,8,6,11,9,69,SHS
10,8,9,5,10,8,15,15,80,SHS
10,9,10,8,10,7,14,11,79,SHS
10,4,13,9,8,7,7,9,67,SHS
10,8,10,7,10,5,8,9,67,SHS
10,7,10,7,10,4,11,10,69,SHS
10,4,6,6,5,5,7,6,49,JHS
10,4,6,6,5,5,8,6,50,JHS
8,4,5,6,5,5,7,5,45,JHS
10,4,6,6,5,5,8,6,50,JHS
10,10,14,10,10,6,11,9,80,SHS
10,9,10,8,10,8,13,14,82,SHS
10,6,15,6,7,7,14,13,78,SHS
10,10,13,9,10,10,13,15,90,SHS
10,13,15,10,10,10,15,15,98,SHS
10,12,7,10,10,10,14,15,88,SHS
10,10,9,10,9,9,14,15,86,SHS
10,8,9,10,10,7,15,15,84,SHS
10,12,14,10,10,10,15,15,96,SHS
10,9,10,8,9,6,15,15,82,SHS
10,4,13,7,8,6,8,8,64,JHS
10,12,12,10,10,10,15,15,94,SHS
10,9,9,9,10,9,15,15,86,SHS
10,6,8,10,9,5,8,8,64,JHS
10,9,9,10,10,9,15,15,87,SHS
10,9,8,8,8,9,15,15,82,SHS
10,9,11,10,10,9,15,15,89,SHS
10,10,11,10,10,9,15,15,90,SHS
10,9,11,10,9,7,15,15,86,SHS
10,11,11,10,10,9,14,15,90,SHS
10,9,11,10,10,9,15,15,89,SHS
10,8,10,9,9,8,11,13,78,SHS
10,6,8,9,9,5,8,8,63,JHS
10,8,9,9,9,8,8,13,74,SHS
10,9,8,8,8,9,15,15,82,SHS
10,11,12,10,10,9,15,15,92,SHS
10,8,10,9,9,8,11,13,78,SHS
10,6,7,7,7,4,8,8,57,JHS
10,8,10,9,9,8,9,13,76,SHS
10,8,10,9,9,8,8,13,75,SHS
10,8,9,9,8,8,9,12,73,SHS
10,8,9,10,9,7,11,14,78,SHS
10,9,10,8,8,9,15,15,84,SHS
10,5,8,6,5,6,8,6,54,JHS
10,11,13,8,10,9,13,14,88,SHS
10,5,8,6,5,6,8,6,54,JHS
10,8,6,7,8,6,12,13,70,SHS
10,5,5,7,4,3,7,12,53,JHS
10,12,14,10,9,8,9,9,81,SHS
10,8,8,8,8,4,13,13,72,SHS
10,6,3,5,5,3,12,14,58,JHS
10,13,15,10,10,10,15,15,98,SHS
10,10,11,9,10,9,11,15,85,SHS
10,5,5,7,4,3,7,14,55,JHS
10,8,10,8,9,5,13,15,78,SHS
10,14,12,10,9,10,15,15,95,SHS
10,12,11,10,10,10,14,15,92,SHS
10,11,13,10,10,9,14,13,90,SHS
10,10,12,8,10,10,15,15,90,SHS
10,9,7,8,8,6,13,12,73,SHS
10,9,12,9,10,9,14,15,88,SHS
10,3,9,6,9,4,14,14,69,SHS
10,4,5,5,4,4,7,13,52,JHS
10,13,15,10,10,10,15,15,98,SHS
10,7,7,7,10,6,11,12,70,SHS
10,11,13,10,10,9,15,15,93,SHS
10,9,15,8,10,7,14,14,87,SHS
10,11,14,10,10,10,15,15,95,SHS
10,9,12,8,9,9,9,9,75,SHS
10,7,6,8,10,6,13,15,75,SHS
10,8,10,8,9,5,13,15,78,SHS
10,6,8,7,8,5,13,14,71,SHS
10,9,10,10,10,7,15,15,86,SHS
10,10,14,10,10,10,14,14,92,SHS
